quality,114986,1.2612
price,90082,1.2046
sound,63348,1.1439
band,54138,1.1230
picture,37625,1.0855
size,37204,1.0845
person,37152,1.0844
player,32245,1.0732
color,23625,1.0537
brand,21682,1.0492
level,21219,1.0482
age,20167,1.0458
seller,17422,1.0396
photo,7003,1.0159
audio,6979,1.0159
problem,63367,1.2353
fun,50168,1.1863
waste,46282,1.1719
experience,29527,1.1096
interest,19725,1.0732
help,16216,1.0602
taste,15520,1.0576
horror,14968,1.0556
trouble,13536,1.0503
book,968156,1.3970
movie,369339,1.1515
cd,211391,1.0867
album,197436,1.0810
product,188484,1.0773
music,155014,1.0636
film,125796,1.0516
game,94995,1.0390
song,79778,1.0327
video,48245,1.0198
service,27411,1.5980
support,20023,1.4368
delivery,8643,1.1885
response,6819,1.1488
attitude,3771,1.0823
